// alpha_q15 = 0x0000
// 420 vectors
// prev curr expected
000000 000000 000000
000000 ffffff 000000
000000 ff0000 000000
000000 0000ff 000000
000000 00ff00 000000
000000 808080 000000
000000 404040 000000
000000 c0c0c0 000000
000000 64c832 000000
000000 ff0064 000000
ffffff 000000 ffffff
ffffff ffffff ffffff
ffffff ff0000 ffffff
ffffff 0000ff ffffff
ffffff 00ff00 ffffff
ffffff 808080 ffffff
ffffff 404040 ffffff
ffffff c0c0c0 ffffff
ffffff 64c832 ffffff
ffffff ff0064 ffffff
ff0000 000000 ff0000
ff0000 ffffff ff0000
ff0000 ff0000 ff0000
ff0000 0000ff ff0000
ff0000 00ff00 ff0000
ff0000 808080 ff0000
ff0000 404040 ff0000
ff0000 c0c0c0 ff0000
ff0000 64c832 ff0000
ff0000 ff0064 ff0000
0000ff 000000 0000ff
0000ff ffffff 0000ff
0000ff ff0000 0000ff
0000ff 0000ff 0000ff
0000ff 00ff00 0000ff
0000ff 808080 0000ff
0000ff 404040 0000ff
0000ff c0c0c0 0000ff
0000ff 64c832 0000ff
0000ff ff0064 0000ff
00ff00 000000 00ff00
00ff00 ffffff 00ff00
00ff00 ff0000 00ff00
00ff00 0000ff 00ff00
00ff00 00ff00 00ff00
00ff00 808080 00ff00
00ff00 404040 00ff00
00ff00 c0c0c0 00ff00
00ff00 64c832 00ff00
00ff00 ff0064 00ff00
808080 000000 808080
808080 ffffff 808080
808080 ff0000 808080
808080 0000ff 808080
808080 00ff00 808080
808080 808080 808080
808080 404040 808080
808080 c0c0c0 808080
808080 64c832 808080
808080 ff0064 808080
404040 000000 404040
404040 ffffff 404040
404040 ff0000 404040
404040 0000ff 404040
404040 00ff00 404040
404040 808080 404040
404040 404040 404040
404040 c0c0c0 404040
404040 64c832 404040
404040 ff0064 404040
c0c0c0 000000 c0c0c0
c0c0c0 ffffff c0c0c0
c0c0c0 ff0000 c0c0c0
c0c0c0 0000ff c0c0c0
c0c0c0 00ff00 c0c0c0
c0c0c0 808080 c0c0c0
c0c0c0 404040 c0c0c0
c0c0c0 c0c0c0 c0c0c0
c0c0c0 64c832 c0c0c0
c0c0c0 ff0064 c0c0c0
64c832 000000 64c832
64c832 ffffff 64c832
64c832 ff0000 64c832
64c832 0000ff 64c832
64c832 00ff00 64c832
64c832 808080 64c832
64c832 404040 64c832
64c832 c0c0c0 64c832
64c832 64c832 64c832
64c832 ff0064 64c832
ff0064 000000 ff0064
ff0064 ffffff ff0064
ff0064 ff0000 ff0064
ff0064 0000ff ff0064
ff0064 00ff00 ff0064
ff0064 808080 ff0064
ff0064 404040 ff0064
ff0064 c0c0c0 ff0064
ff0064 64c832 ff0064
ff0064 ff0064 ff0064
000000 ff0080 000000
040404 fb0280 040404
080808 f70480 080808
0c0c0c f30680 0c0c0c
101010 ef0880 101010
141414 eb0a80 141414
181818 e70c80 181818
1c1c1c e30e80 1c1c1c
