// alpha_q15 = 0x6000
// 420 vectors
// prev curr expected
000000 000000 000000
000000 ffffff bfbfbf
000000 ff0000 bf0000
000000 0000ff 0000bf
000000 00ff00 00bf00
000000 808080 606060
000000 404040 303030
000000 c0c0c0 909090
000000 64c832 4b9626
000000 ff0064 bf004b
ffffff 000000 404040
ffffff ffffff ffffff
ffffff ff0000 ff4040
ffffff 0000ff 4040ff
ffffff 00ff00 40ff40
ffffff 808080 a0a0a0
ffffff 404040 707070
ffffff c0c0c0 d0d0d0
ffffff 64c832 8bd665
ffffff ff0064 ff408b
ff0000 000000 400000
ff0000 ffffff ffbfbf
ff0000 ff0000 ff0000
ff0000 0000ff 4000bf
ff0000 00ff00 40bf00
ff0000 808080 a06060
ff0000 404040 703030
ff0000 c0c0c0 d09090
ff0000 64c832 8b9626
ff0000 ff0064 ff004b
0000ff 000000 000040
0000ff ffffff bfbfff
0000ff ff0000 bf0040
0000ff 0000ff 0000ff
0000ff 00ff00 00bf40
0000ff 808080 6060a0
0000ff 404040 303070
0000ff c0c0c0 9090d0
0000ff 64c832 4b9665
0000ff ff0064 bf008b
00ff00 000000 004000
00ff00 ffffff bfffbf
00ff00 ff0000 bf4000
00ff00 0000ff 0040bf
00ff00 00ff00 00ff00
00ff00 808080 60a060
00ff00 404040 307030
00ff00 c0c0c0 90d090
00ff00 64c832 4bd626
00ff00 ff0064 bf404b
808080 000000 202020
808080 ffffff dfdfdf
808080 ff0000 df2020
808080 0000ff 2020df
808080 00ff00 20df20
808080 808080 808080
808080 404040 505050
808080 c0c0c0 b0b0b0
808080 64c832 6bb646
808080 ff0064 df206b
404040 000000 101010
404040 ffffff cfcfcf
404040 ff0000 cf1010
404040 0000ff 1010cf
404040 00ff00 10cf10
404040 808080 707070
404040 404040 404040
404040 c0c0c0 a0a0a0
404040 64c832 5ba636
404040 ff0064 cf105b
c0c0c0 000000 303030
c0c0c0 ffffff efefef
c0c0c0 ff0000 ef3030
c0c0c0 0000ff 3030ef
c0c0c0 00ff00 30ef30
c0c0c0 808080 909090
c0c0c0 404040 606060
c0c0c0 c0c0c0 c0c0c0
c0c0c0 64c832 7bc656
c0c0c0 ff0064 ef307b
64c832 000000 19320d
64c832 ffffff d8f1cc
64c832 ff0000 d8320d
64c832 0000ff 1932cc
64c832 00ff00 19f10d
64c832 808080 79926d
64c832 404040 49623d
64c832 c0c0c0 a9c29d
64c832 64c832 64c832
64c832 ff0064 d83258
ff0064 000000 400019
ff0064 ffffff ffbfd8
ff0064 ff0000 ff0019
ff0064 0000ff 4000d8
ff0064 00ff00 40bf19
ff0064 808080 a06079
ff0064 404040 703049
ff0064 c0c0c0 d090a9
ff0064 64c832 8b963f
ff0064 ff0064 ff0064
000000 ff0080 bf0060
040404 fb0280 bd0361
080808 f70480 bb0562
0c0c0c f30680 b90863
101010 ef0880 b70a64
141414 eb0a80 b50d65
181818 e70c80 b30f66
1c1c1c e30e80 b11267
202020 df1080 af1468
242424 db1280 ad1769
282828 d71480 ab196a
2c2c2c d31680 a91c6b
303030 cf1880 a71e6c
343434 cb1a80 a5216d
383838 c71c80 a3236e
3c3c3c c31e80 a1266f
404040 bf2080 9f2870
444444 bb2280 9d2b71
484848 b72480 9b2d72
4c4c4c b32680 993073
505050 af2880 973274
545454 ab2a80 953575
585858 a72c80 933776
5c5c5c a32e80 913a77
606060 9f3080 8f3c78
646464 9b3280 8d3f79
686868 973480 8b417a
6c6c6c 933680 89447b
707070 8f3880 87467c
747474 8b3a80 85497d
787878 873c80 834b7e
7c7c7c 833e80 814e7f
808080 7f4080 7f5080
848484 7b4280 7d5381
888888 774480 7b5582
8c8c8c 734680 795883
909090 6f4880 775a84
949494 6b4a80 755d85
989898 674c80 735f86
9c9c9c 634e80 716287
a0a0a0 5f5080 6f6488
a4a4a4 5b5280 6d6789
a8a8a8 575480 6b698a
acacac 535680 696c8b
b0b0b0 4f5880 676e8c
b4b4b4 4b5a80 65718d
b8b8b8 475c80 63738e
bcbcbc 435e80 61768f
c0c0c0 3f6080 5f7890
c4c4c4 3b6280 5d7b91
c8c8c8 376480 5b7d92
cccccc 336680 598093
d0d0d0 2f6880 578294
d4d4d4 2b6a80 558595
d8d8d8 276c80 538796
dcdcdc 236e80 518a97
e0e0e0 1f7080 4f8c98
e4e4e4 1b7280 4d8f99
e8e8e8 177480 4b919a
ececec 137680 49949b
f0f0f0 0f7880 47969c
f4f4f4 0b7a80 45999d
f8f8f8 077c80 439b9e
fcfcfc 037e80 419e9f
16472f 9539bb 753d98
c8fbe9 a2cf95 acdaaa
ad51df 01b556 2c9c78
5b4e02 cd0b0a b11c08
090f75 caec9b 9ab592
a2ffd5 da7c1e cc9d4c
90a5c9 a4c0dc 9fb9d7
ccee31 b98c0d bea516
1172eb 098a60 0b8483
f52961 95e4da adb5bc
124988 599ddf 4788c9
0d77f9 aa2ca0 833fb6
7c5a6a 8453b1 82559f
3ac377 6cec12 60e22b
dec0e7 9f3110 af5546
ffbb3f c6060a d43317
5ecc2d 739a62 6ea755
beeb01 010691 303f6d
0f7544 d0bb9f a0aa88
4c36d3 84ce3b 76a861
9cbb9e 52d575 65cf7f
767042 18dbb2 30c096
8644ad 4c240e 5b2c36
e65987 076a81 3f6683
90c5b4 3c60bf 5179bc
afa6e8 091a0b 333d42
c4d90b 219455 4aa543
5d2b9d 1e7862 2e6571
5c3400 43054e 49113b
5efa52 e967dd c68cba
f6feea 185072 507c90
581421 c2db4b a8a941
2db982 9d6bba 817fac
c55484 6cf6f0 82ced5
1a1e90 b88002 916826
129d97 3a68c5 3075ba
bc2905 5394c1 6d7992
6fffe5 95acc0 8cc1c9
666a91 038257 1c7c66
272990 c84b1c a04339
08642e 03ee13 04cc1a
e2ca6c 6e6f6e 8b866e
6ab6e0 6bbb39 6bba63
43710a 4b08e0 4922ab
621059 109256 257257
852e3e a2f292 9bc17d
63b7fc 147f00 288d3f
69e545 f55819 d27b24
f39c7a 355e53 656e5d
0102f1 381c67 2a168a
1c2c69 7340f5 5d3bd2
707f71 cc15e1 b530c5
d6304d 585d7e 785272
6ef70f 493c6e 526b56
b4249d 6a0e58 7d1469
04bc5f 691e7a 504673
db1789 ee5ae8 e949d0
fe6e08 6fbd98 93a974
f20ca3 6b5b2a 8d4748
e4f0fe 05b91a 3dc753
73f53a c39486 afac73
91634f 49f8b5 5bd39c
ddb5e0 d5791a d7884c
1d9ce5 a0cdb0 7fc1bd
f7239e 98574f b04a63
94a2fa 18b8bf 37b3ce
ee8598 ee85c2 ee85b8
6fc88b b1d16c a1cf74
445484 7acd3a 6daf4d
404d19 66b0e4 5d97b1
d25ec4 0b3696 3d40a2
4386d8 7b5355 6d6076
e499c3 a454af b465b4
1fb6fa 762156 60467f
508954 0b0619 1c2728
92f033 cd09d8 be43af
b2a9da 872e6a 924d86
85dab2 f14b78 d66f87
b7be77 c86f4e c48358
c06ef9 37cac6 59b3d3
