// alpha_q15 = 0x2000
// 420 vectors
// prev curr expected
000000 000000 000000
000000 ffffff 404040
000000 ff0000 400000
000000 0000ff 000040
000000 00ff00 004000
000000 808080 202020
000000 404040 101010
000000 c0c0c0 303030
000000 64c832 19320d
000000 ff0064 400019
ffffff 000000 bfbfbf
ffffff ffffff ffffff
ffffff ff0000 ffbfbf
ffffff 0000ff bfbfff
ffffff 00ff00 bfffbf
ffffff 808080 dfdfdf
ffffff 404040 cfcfcf
ffffff c0c0c0 efefef
ffffff 64c832 d8f1cc
ffffff ff0064 ffbfd8
ff0000 000000 bf0000
ff0000 ffffff ff4040
ff0000 ff0000 ff0000
ff0000 0000ff bf0040
ff0000 00ff00 bf4000
ff0000 808080 df2020
ff0000 404040 cf1010
ff0000 c0c0c0 ef3030
ff0000 64c832 d8320d
ff0000 ff0064 ff0019
0000ff 000000 0000bf
0000ff ffffff 4040ff
0000ff ff0000 4000bf
0000ff 0000ff 0000ff
0000ff 00ff00 0040bf
0000ff 808080 2020df
0000ff 404040 1010cf
0000ff c0c0c0 3030ef
0000ff 64c832 1932cc
0000ff ff0064 4000d8
00ff00 000000 00bf00
00ff00 ffffff 40ff40
00ff00 ff0000 40bf00
00ff00 0000ff 00bf40
00ff00 00ff00 00ff00
00ff00 808080 20df20
00ff00 404040 10cf10
00ff00 c0c0c0 30ef30
00ff00 64c832 19f10d
00ff00 ff0064 40bf19
808080 000000 606060
808080 ffffff a0a0a0
808080 ff0000 a06060
808080 0000ff 6060a0
808080 00ff00 60a060
808080 808080 808080
808080 404040 707070
808080 c0c0c0 909090
808080 64c832 79926d
808080 ff0064 a06079
404040 000000 303030
404040 ffffff 707070
404040 ff0000 703030
404040 0000ff 303070
404040 00ff00 307030
404040 808080 505050
404040 404040 404040
404040 c0c0c0 606060
404040 64c832 49623d
404040 ff0064 703049
c0c0c0 000000 909090
c0c0c0 ffffff d0d0d0
c0c0c0 ff0000 d09090
c0c0c0 0000ff 9090d0
c0c0c0 00ff00 90d090
c0c0c0 808080 b0b0b0
c0c0c0 404040 a0a0a0
c0c0c0 c0c0c0 c0c0c0
c0c0c0 64c832 a9c29d
c0c0c0 ff0064 d090a9
64c832 000000 4b9626
64c832 ffffff 8bd665
64c832 ff0000 8b9626
64c832 0000ff 4b9665
64c832 00ff00 4bd626
64c832 808080 6bb646
64c832 404040 5ba636
64c832 c0c0c0 7bc656
64c832 64c832 64c832
64c832 ff0064 8b963f
ff0064 000000 bf004b
ff0064 ffffff ff408b
ff0064 ff0000 ff004b
ff0064 0000ff bf008b
ff0064 00ff00 bf404b
ff0064 808080 df206b
ff0064 404040 cf105b
ff0064 c0c0c0 ef307b
ff0064 64c832 d83258
ff0064 ff0064 ff0064
000000 ff0080 400020
040404 fb0280 420423
080808 f70480 440726
0c0c0c f30680 460b29
101010 ef0880 480e2c
141414 eb0a80 4a122f
181818 e70c80 4c1532
1c1c1c e30e80 4e1935
202020 df1080 501c38
242424 db1280 52203b
282828 d71480 54233e
2c2c2c d31680 562741
303030 cf1880 582a44
343434 cb1a80 5a2e47
383838 c71c80 5c314a
3c3c3c c31e80 5e354d
404040 bf2080 603850
444444 bb2280 623c53
484848 b72480 643f56
4c4c4c b32680 664359
505050 af2880 68465c
545454 ab2a80 6a4a5f
585858 a72c80 6c4d62
5c5c5c a32e80 6e5165
606060 9f3080 705468
646464 9b3280 72586b
686868 973480 745b6e
6c6c6c 933680 765f71
707070 8f3880 786274
747474 8b3a80 7a6677
787878 873c80 7c697a
7c7c7c 833e80 7e6d7d
808080 7f4080 807080
848484 7b4280 827483
888888 774480 847786
8c8c8c 734680 867b89
909090 6f4880 887e8c
949494 6b4a80 8a828f
989898 674c80 8c8592
9c9c9c 634e80 8e8995
a0a0a0 5f5080 908c98
a4a4a4 5b5280 92909b
a8a8a8 575480 94939e
acacac 535680 9697a1
b0b0b0 4f5880 989aa4
b4b4b4 4b5a80 9a9ea7
b8b8b8 475c80 9ca1aa
bcbcbc 435e80 9ea5ad
c0c0c0 3f6080 a0a8b0
c4c4c4 3b6280 a2acb3
c8c8c8 376480 a4afb6
cccccc 336680 a6b3b9
d0d0d0 2f6880 a8b6bc
d4d4d4 2b6a80 aababf
d8d8d8 276c80 acbdc2
dcdcdc 236e80 aec1c5
e0e0e0 1f7080 b0c4c8
e4e4e4 1b7280 b2c8cb
e8e8e8 177480 b4cbce
ececec 137680 b6cfd1
f0f0f0 0f7880 b8d2d4
f4f4f4 0b7a80 bad6d7
f8f8f8 077c80 bcd9da
fcfcfc 037e80 bedddd
16472f 9539bb 364452
c8fbe9 a2cf95 bff0d4
ad51df 01b556 826abd
5b4e02 cd0b0a 783d04
090f75 caec9b 39467f
a2ffd5 da7c1e b0dea7
90a5c9 a4c0dc 95acce
ccee31 b98c0d c7d628
1172eb 098a60 0f78c8
f52961 95e4da dd587f
124988 599ddf 245e9e
0d77f9 aa2ca0 3464e3
7c5a6a 8453b1 7e587c
3ac377 6cec12 47cd5e
dec0e7 9f3110 ce9cb1
ffbb3f c6060a f18e32
5ecc2d 739a62 63c03a
beeb01 010691 8fb225
0f7544 d0bb9f 3f875b
4c36d3 84ce3b 5a5cad
9cbb9e 52d575 8ac294
767042 18dbb2 5f8b5e
8644ad 4c240e 783c85
e65987 076a81 ae5d86
90c5b4 3c60bf 7bacb7
afa6e8 091a0b 8683b1
c4d90b 219455 9bc81e
5d2b9d 1e7862 4d3e8e
5c3400 43054e 562814
5efa52 e967dd 81d575
f6feea 185072 bfd3cc
581421 c2db4b 73462c
2db982 9d6bba 49a690
c55484 6cf6f0 af7d9f
1a1e90 b88002 42376d
129d97 3a68c5 1c90a3
bc2905 5394c1 a24434
6fffe5 95acc0 79eadc
666a91 038257 4d7083
272990 c84b1c 4f3273
08642e 03ee13 078727
e2ca6c 6e6f6e c5b36d
6ab6e0 6bbb39 6ab7b6
43710a 4b08e0 455740
621059 109256 4e3158
852e3e a2f292 8c5f53
63b7fc 147f00 4fa9bd
69e545 f55819 8cc23a
f39c7a 355e53 c48d70
0102f1 381c67 0f09cf
1c2c69 7340f5 32318c
707f71 cc15e1 87658d
d6304d 585d7e b73b59
6ef70f 493c6e 65c827
b4249d 6a0e58 a21f8c
04bc5f 691e7a 1d9566
db1789 ee5ae8 e028a1
fe6e08 6fbd98 da822c
f20ca3 6b5b2a d02085
e4f0fe 05b91a ace2c5
73f53a c39486 87dd4d
91634f 49f8b5 7f8869
ddb5e0 d5791a dba6af
1d9ce5 a0cdb0 3ea8d8
f7239e 98574f df308a
94a2fa 18b8bf 75a8eb
ee8598 ee85c2 ee85a3
6fc88b b1d16c 80ca83
445484 7acd3a 527272
404d19 66b0e4 4a664c
d25ec4 0b3696 a054b9
4386d8 7b5355 5179b7
e499c3 a454af d488be
1fb6fa 762156 3591d1
508954 0b0619 3f6845
92f033 cd09d8 a1b65c
b2a9da 872e6a a78abe
85dab2 f14b78 a0b6a4
b7be77 c86f4e bbaa6d
c06ef9 37cac6 9e85ec
bc9fa4 fb68a2 cc91a4
88f27d ac262f 91bf6a
46c36a 9f8cea 5cb58a
f5b9e7 310209 c48bb0
656809 d01c72 805523
57f70e 39b987 50e82c
df5044 d4e0df dc746b
f3756f 75ff51 d49868
35c7f6 65bdb5 41c5e6
0e9624 452d22 1c7c24
47f73b f18c9d 72dc54
faf9d2 a8db5d e6f2b5
702ed9 e52eb7 8d2ed1
10a349 86ba0e 2ea93a
034dc5 2d6fcd 0e56c7
ed5a19 d3ca84 e77634
4fafd3 f24c67 7896b8
897cef 12d22b 6b92be
81f3b4 683fbe 7bc6b7
5b52b6 da7673 7b5ba5
8a94cd 417de5 788ed3
cca797 d81817 cf8377
93ac05 618704 87a305
683e2d 5e7b85 664d43
18c141 60b81f 2abf39
b204d4 083663 8811b8
93e0c0 6724d1 88b1c4
04ab56 cf4ba6 37936a
f067f6 ec197e ef54d8
da3258 ea50d4 de3a77
cf6491 46d81b ad8174
11d587 53a275 22c883
cfc74e 9e95e0 c3bb73
e9aa53 f1e1fd ebb87e
7b0de4 16b33a 6237ba
e2139b e793ed e333b0
33bfe6 5b67a9 3da9d7
4793b6 67f589 4facab
c5b126 747fe0 b1a555
8e6fe9 f3405d a763c6
8302d1 d11642 9707ad
b4bd80 1ce458 8ec776
83a7ff 5feee4 7ab9f8
d23e98 9eabfa c559b1
1022eb 234575 152bce
5d8a49 1d0ad7 4d6a6d
d4aa3b 7641a2 bd9055
1412cd 6d02c3 2a0ecb
9c8c55 d33b7f aa7860
ebfe2c 484be2 c2d15a
a091af 516fd9 8c89ba
2e0a16 528192 372835
a5f0d1 f0f5fa b8f1db
35753c a35cb3 516f5a
60302f 71358a 643146
f4476e c0e410 e76e57
48e05e f8ee2d 74e452
243734 b5e9c8 486459
0cce74 3b9b37 18c165
9e9801 231340 7f7711
8a3cc1 29a602 725791
293e70 7633d8 3c3b8a
9e5ae8 923d24 9b53b7
3fabed fe3160 6f8dca
304a21 7baa7b 436238
ceeb51 0c6628 9eca47
83dd78 73bd90 7fd57e
e0fa9a 0ede01 acf374
e1e21c 9617ea ceaf50
c60e2c 16a200 9a3321
2e3461 5027f7 373187
9b30e8 d35c8a a93bd1
c2036f 2367ac 9a1c7e
788d6c 49122b 6c6e5c
9b54c8 6ccb9e 8f72be
2c30f0 376821 2f3ebc
f07d2b be4085 e46e42
509ef6 0ee0f0 40aff5
7a7d39 8197df 7c8463
8001c7 4be970 733bb1
b349b4 5cd0bc 9d6bb6
b17bc4 2411f2 8e61d0
11673f 0f0adc 115066
36b1ee e06905 619fb4
cbfeba ca779c cbdcb3
3220c7 3aca76 344bb3
b0205c 8bca6c a74b60
b899a7 0bc0f8 8da3bb
446d6a b73316 615f55
ab40f8 fb8d77 bf53d8
cb1c64 315bc7 a52c7d
791e13 2ab02b 654319
31a6d4 3f9e09 35a4a1
08c643 8c8d66 29b84c
80586c 805231 80575d
a774da 489980 8f7dc4
52572c 491c00 504821
03b378 8566e7 24a094
fe4c73 ebc160 f9696e
1d055e c1f831 464253
8cabaa 0e7911 6d9f84
e1dea6 f3dc9e e6dea4
f4ab6a 979356 dda565
8afc67 a2f87b 90fb6c
7b1a7e 3cb474 6b417c
f97a2c 5ac787 d18d43
b44c76 005ce4 875092
d2bd2e 610189 b68e45
d54158 b52ce2 cd3c7b
0715c0 ae571e 312698
dfbf21 f402d0 e4904d
feaff6 e95005 f997ba
7f5f0b 976892 85612d
92b12b 98b720 94b328
1c4518 14e4c9 1a6d44
20d020 1d531c 1fb11f
156704 15ee4d 158916
2ef67e 8884b9 45da8d
127519 6584bf 277943
521c23 dc0560 751632
3b5fa4 0f7bd3 3066b0
7d9513 fe2be2 9d7b47
493b3e 0cfbaf 3a6b5a
dd52ef 2569c5 af58e5
3f06af ea2a04 6a0f84
8217f2 68a0ff 7c39f5
fb8174 41c328 cd9261
f53d66 2b7bc4 c34d7e
