// alpha_q15 = 0x1000
// 420 vectors
// prev curr expected
000000 000000 000000
000000 ffffff 202020
000000 ff0000 200000
000000 0000ff 000020
000000 00ff00 002000
000000 808080 101010
000000 404040 080808
000000 c0c0c0 181818
000000 64c832 0d1906
000000 ff0064 20000d
ffffff 000000 dfdfdf
ffffff ffffff ffffff
ffffff ff0000 ffdfdf
ffffff 0000ff dfdfff
ffffff 00ff00 dfffdf
ffffff 808080 efefef
ffffff 404040 e7e7e7
ffffff c0c0c0 f7f7f7
ffffff 64c832 ecf8e5
ffffff ff0064 ffdfec
ff0000 000000 df0000
ff0000 ffffff ff2020
ff0000 ff0000 ff0000
ff0000 0000ff df0020
ff0000 00ff00 df2000
ff0000 808080 ef1010
ff0000 404040 e70808
ff0000 c0c0c0 f71818
ff0000 64c832 ec1906
ff0000 ff0064 ff000d
0000ff 000000 0000df
0000ff ffffff 2020ff
0000ff ff0000 2000df
0000ff 0000ff 0000ff
0000ff 00ff00 0020df
0000ff 808080 1010ef
0000ff 404040 0808e7
0000ff c0c0c0 1818f7
0000ff 64c832 0d19e5
0000ff ff0064 2000ec
00ff00 000000 00df00
00ff00 ffffff 20ff20
00ff00 ff0000 20df00
00ff00 0000ff 00df20
00ff00 00ff00 00ff00
00ff00 808080 10ef10
00ff00 404040 08e708
00ff00 c0c0c0 18f718
00ff00 64c832 0df806
00ff00 ff0064 20df0d
808080 000000 707070
808080 ffffff 909090
808080 ff0000 907070
808080 0000ff 707090
808080 00ff00 709070
808080 808080 808080
808080 404040 787878
808080 c0c0c0 888888
808080 64c832 7d8976
808080 ff0064 90707d
404040 000000 383838
404040 ffffff 585858
404040 ff0000 583838
404040 0000ff 383858
404040 00ff00 385838
404040 808080 484848
404040 404040 404040
404040 c0c0c0 505050
404040 64c832 45513e
404040 ff0064 583845
c0c0c0 000000 a8a8a8
c0c0c0 ffffff c8c8c8
c0c0c0 ff0000 c8a8a8
c0c0c0 0000ff a8a8c8
c0c0c0 00ff00 a8c8a8
c0c0c0 808080 b8b8b8
c0c0c0 404040 b0b0b0
c0c0c0 c0c0c0 c0c0c0
c0c0c0 64c832 b5c1ae
c0c0c0 ff0064 c8a8b5
64c832 000000 58af2c
64c832 ffffff 77cf4c
64c832 ff0000 77af2c
64c832 0000ff 58af4c
64c832 00ff00 58cf2c
64c832 808080 68bf3c
64c832 404040 60b734
64c832 c0c0c0 70c744
64c832 64c832 64c832
64c832 ff0064 77af38
ff0064 000000 df0058
ff0064 ffffff ff2077
ff0064 ff0000 ff0058
ff0064 0000ff df0077
ff0064 00ff00 df2058
ff0064 808080 ef1068
ff0064 404040 e70860
ff0064 c0c0c0 f71870
ff0064 64c832 ec195e
ff0064 ff0064 ff0064
000000 ff0080 200010
040404 fb0280 230414
080808 f70480 260817
0c0c0c f30680 290b1b
101010 ef0880 2c0f1e
141414 eb0a80 2f1322
181818 e70c80 321725
1c1c1c e30e80 351a29
202020 df1080 381e2c
242424 db1280 3b2230
282828 d71480 3e2633
2c2c2c d31680 412937
303030 cf1880 442d3a
343434 cb1a80 47313e
383838 c71c80 4a3541
3c3c3c c31e80 4d3845
404040 bf2080 503c48
444444 bb2280 53404c
484848 b72480 56444f
4c4c4c b32680 594753
505050 af2880 5c4b56
545454 ab2a80 5f4f5a
585858 a72c80 62535d
5c5c5c a32e80 655661
606060 9f3080 685a64
646464 9b3280 6b5e68
686868 973480 6e626b
6c6c6c 933680 71656f
707070 8f3880 746972
747474 8b3a80 776d76
787878 873c80 7a7179
7c7c7c 833e80 7d747d
808080 7f4080 807880
848484 7b4280 837c84
888888 774480 868087
8c8c8c 734680 89838b
909090 6f4880 8c878e
949494 6b4a80 8f8b92
989898 674c80 928f95
9c9c9c 634e80 959299
a0a0a0 5f5080 98969c
a4a4a4 5b5280 9b9aa0
a8a8a8 575480 9e9ea3
acacac 535680 a1a1a7
b0b0b0 4f5880 a4a5aa
b4b4b4 4b5a80 a7a9ae
b8b8b8 475c80 aaadb1
bcbcbc 435e80 adb0b5
c0c0c0 3f6080 b0b4b8
c4c4c4 3b6280 b3b8bc
c8c8c8 376480 b6bcbf
cccccc 336680 b9bfc3
d0d0d0 2f6880 bcc3c6
d4d4d4 2b6a80 bfc7ca
d8d8d8 276c80 c2cbcd
dcdcdc 236e80 c5ced1
e0e0e0 1f7080 c8d2d4
e4e4e4 1b7280 cbd6d8
e8e8e8 177480 cedadb
ececec 137680 d1dddf
f0f0f0 0f7880 d4e1e2
f4f4f4 0b7a80 d7e5e6
f8f8f8 077c80 dae9e9
fcfcfc 037e80 ddeced
16472f 9539bb 264541
c8fbe9 a2cf95 c3f6df
ad51df 01b556 985ece
5b4e02 cd0b0a 694603
090f75 caec9b 212b7a
a2ffd5 da7c1e a9efbe
90a5c9 a4c0dc 93a8cb
ccee31 b98c0d cae22d
1172eb 098a60 1075da
f52961 95e4da e94070
124988 599ddf 1b5493
0d77f9 aa2ca0 216eee
7c5a6a 8453b1 7d5973
3ac377 6cec12 40c86a
dec0e7 9f3110 d6aecc
ffbb3f c6060a f8a438
5ecc2d 739a62 61c634
beeb01 010691 a6ce13
0f7544 d0bb9f 277e4f
4c36d3 84ce3b 5349c0
9cbb9e 52d575 93be99
767042 18dbb2 6a7d50
8644ad 4c240e 7f4099
e65987 076a81 ca5b86
