// alpha_q15 = 0x4000
// 420 vectors
// prev curr expected
000000 000000 000000
000000 ffffff 808080
000000 ff0000 800000
000000 0000ff 000080
000000 00ff00 008000
000000 808080 404040
000000 404040 202020
000000 c0c0c0 606060
000000 64c832 326419
000000 ff0064 800032
ffffff 000000 808080
ffffff ffffff ffffff
ffffff ff0000 ff8080
ffffff 0000ff 8080ff
ffffff 00ff00 80ff80
ffffff 808080 c0c0c0
ffffff 404040 a0a0a0
ffffff c0c0c0 e0e0e0
ffffff 64c832 b2e499
ffffff ff0064 ff80b2
ff0000 000000 800000
ff0000 ffffff ff8080
ff0000 ff0000 ff0000
ff0000 0000ff 800080
ff0000 00ff00 808000
ff0000 808080 c04040
ff0000 404040 a02020
ff0000 c0c0c0 e06060
ff0000 64c832 b26419
ff0000 ff0064 ff0032
0000ff 000000 000080
0000ff ffffff 8080ff
0000ff ff0000 800080
0000ff 0000ff 0000ff
0000ff 00ff00 008080
0000ff 808080 4040c0
0000ff 404040 2020a0
0000ff c0c0c0 6060e0
0000ff 64c832 326499
0000ff ff0064 8000b2
00ff00 000000 008000
00ff00 ffffff 80ff80
00ff00 ff0000 808000
00ff00 0000ff 008080
00ff00 00ff00 00ff00
00ff00 808080 40c040
00ff00 404040 20a020
00ff00 c0c0c0 60e060
00ff00 64c832 32e419
00ff00 ff0064 808032
808080 000000 404040
808080 ffffff c0c0c0
808080 ff0000 c04040
808080 0000ff 4040c0
808080 00ff00 40c040
808080 808080 808080
808080 404040 606060
808080 c0c0c0 a0a0a0
808080 64c832 72a459
808080 ff0064 c04072
404040 000000 202020
404040 ffffff a0a0a0
404040 ff0000 a02020
404040 0000ff 2020a0
404040 00ff00 20a020
404040 808080 606060
404040 404040 404040
404040 c0c0c0 808080
404040 64c832 528439
404040 ff0064 a02052
c0c0c0 000000 606060
c0c0c0 ffffff e0e0e0
c0c0c0 ff0000 e06060
c0c0c0 0000ff 6060e0
c0c0c0 00ff00 60e060
c0c0c0 808080 a0a0a0
c0c0c0 404040 808080
c0c0c0 c0c0c0 c0c0c0
c0c0c0 64c832 92c479
c0c0c0 ff0064 e06092
64c832 000000 326419
64c832 ffffff b2e499
64c832 ff0000 b26419
64c832 0000ff 326499
64c832 00ff00 32e419
64c832 808080 72a459
64c832 404040 528439
64c832 c0c0c0 92c479
64c832 64c832 64c832
64c832 ff0064 b2644b
ff0064 000000 800032
ff0064 ffffff ff80b2
ff0064 ff0000 ff0032
ff0064 0000ff 8000b2
ff0064 00ff00 808032
ff0064 808080 c04072
ff0064 404040 a02052
ff0064 c0c0c0 e06092
ff0064 64c832 b2644b
ff0064 ff0064 ff0064
000000 ff0080 800040
040404 fb0280 800342
080808 f70480 800644
0c0c0c f30680 800946
101010 ef0880 800c48
141414 eb0a80 800f4a
181818 e70c80 80124c
1c1c1c e30e80 80154e
202020 df1080 801850
242424 db1280 801b52
282828 d71480 801e54
2c2c2c d31680 802156
303030 cf1880 802458
343434 cb1a80 80275a
383838 c71c80 802a5c
3c3c3c c31e80 802d5e
404040 bf2080 803060
444444 bb2280 803362
484848 b72480 803664
4c4c4c b32680 803966
505050 af2880 803c68
545454 ab2a80 803f6a
585858 a72c80 80426c
5c5c5c a32e80 80456e
606060 9f3080 804870
646464 9b3280 804b72
686868 973480 804e74
6c6c6c 933680 805176
