// mode = 0 (601L)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
000000 000000 108080 108080 8010 8010
000000 ffffff 108080 eb8080 8010 80eb
000000 ff0000 108080 515aef 6d10 b851
000000 0000ff 108080 903522 5b10 5190
000000 00ff00 108080 28ef6d b810 7728
000000 808080 108080 7d8080 8010 807d
000000 c86496 108080 986299 7110 8d98
000000 101010 108080 1d8080 8010 801d
000000 ebebeb 108080 d98080 8010 80d9
000000 ff0080 108080 9235c0 5b10 a092
000000 0080ff 108080 9d6d19 7710 4d9d
000000 80ff00 108080 49dda6 af10 9349
ffffff 000000 eb8080 108080 80eb 8010
ffffff ffffff eb8080 eb8080 80eb 80eb
ffffff ff0000 eb8080 515aef 6deb b851
ffffff 0000ff eb8080 903522 5beb 5190
ffffff 00ff00 eb8080 28ef6d b8eb 7728
ffffff 808080 eb8080 7d8080 80eb 807d
ffffff c86496 eb8080 986299 71eb 8d98
ffffff 101010 eb8080 1d8080 80eb 801d
ffffff ebebeb eb8080 d98080 80eb 80d9
ffffff ff0080 eb8080 9235c0 5beb a092
ffffff 0080ff eb8080 9d6d19 77eb 4d9d
ffffff 80ff00 eb8080 49dda6 afeb 9349
ff0000 000000 515aef 108080 6d51 b810
ff0000 ffffff 515aef eb8080 6d51 b8eb
ff0000 ff0000 515aef 515aef 5a51 ef51
ff0000 0000ff 515aef 903522 4851 8990
ff0000 00ff00 515aef 28ef6d a551 ae28
ff0000 808080 515aef 7d8080 6d51 b87d
ff0000 c86496 515aef 986299 5e51 c498
ff0000 101010 515aef 1d8080 6d51 b81d
ff0000 ebebeb 515aef d98080 6d51 b8d9
ff0000 ff0080 515aef 9235c0 4851 d892
ff0000 0080ff 515aef 9d6d19 6451 849d
ff0000 80ff00 515aef 49dda6 9c51 cb49
0000ff 000000 903522 108080 5b90 5110
0000ff ffffff 903522 eb8080 5b90 51eb
0000ff ff0000 903522 515aef 4890 8951
0000ff 0000ff 903522 903522 3590 2290
0000ff 00ff00 903522 28ef6d 9290 4828
0000ff 808080 903522 7d8080 5b90 517d
0000ff c86496 903522 986299 4c90 5e98
0000ff 101010 903522 1d8080 5b90 511d
0000ff ebebeb 903522 d98080 5b90 51d9
0000ff ff0080 903522 9235c0 3590 7192
0000ff 0080ff 903522 9d6d19 5190 1e9d
0000ff 80ff00 903522 49dda6 8990 6449
00ff00 000000 28ef6d 108080 b828 7710
00ff00 ffffff 28ef6d eb8080 b828 77eb
00ff00 ff0000 28ef6d 515aef a528 ae51
00ff00 0000ff 28ef6d 903522 9228 4890
00ff00 00ff00 28ef6d 28ef6d ef28 6d28
00ff00 808080 28ef6d 7d8080 b828 777d
00ff00 c86496 28ef6d 986299 a928 8398
00ff00 101010 28ef6d 1d8080 b828 771d
00ff00 ebebeb 28ef6d d98080 b828 77d9
00ff00 ff0080 28ef6d 9235c0 9228 9792
00ff00 0080ff 28ef6d 9d6d19 ae28 439d
00ff00 80ff00 28ef6d 49dda6 e628 8a49
808080 000000 7d8080 108080 807d 8010
808080 ffffff 7d8080 eb8080 807d 80eb
808080 ff0000 7d8080 515aef 6d7d b851
808080 0000ff 7d8080 903522 5b7d 5190
808080 00ff00 7d8080 28ef6d b87d 7728
808080 808080 7d8080 7d8080 807d 807d
808080 c86496 7d8080 986299 717d 8d98
808080 101010 7d8080 1d8080 807d 801d
808080 ebebeb 7d8080 d98080 807d 80d9
808080 ff0080 7d8080 9235c0 5b7d a092
808080 0080ff 7d8080 9d6d19 777d 4d9d
808080 80ff00 7d8080 49dda6 af7d 9349
c86496 000000 986299 108080 7198 8d10
c86496 ffffff 986299 eb8080 7198 8deb
c86496 ff0000 986299 515aef 5e98 c451
c86496 0000ff 986299 903522 4c98 5e90
c86496 00ff00 986299 28ef6d a998 8328
c86496 808080 986299 7d8080 7198 8d7d
c86496 c86496 986299 986299 6298 9998
c86496 101010 986299 1d8080 7198 8d1d
c86496 ebebeb 986299 d98080 7198 8dd9
c86496 ff0080 986299 9235c0 4c98 ad92
c86496 0080ff 986299 9d6d19 6898 599d
c86496 80ff00 986299 49dda6 a098 a049
101010 000000 1d8080 108080 801d 8010
101010 ffffff 1d8080 eb8080 801d 80eb
101010 ff0000 1d8080 515aef 6d1d b851
101010 0000ff 1d8080 903522 5b1d 5190
101010 00ff00 1d8080 28ef6d b81d 7728
101010 808080 1d8080 7d8080 801d 807d
101010 c86496 1d8080 986299 711d 8d98
101010 101010 1d8080 1d8080 801d 801d
101010 ebebeb 1d8080 d98080 801d 80d9
101010 ff0080 1d8080 9235c0 5b1d a092
101010 0080ff 1d8080 9d6d19 771d 4d9d
101010 80ff00 1d8080 49dda6 af1d 9349
ebebeb 000000 d98080 108080 80d9 8010
ebebeb ffffff d98080 eb8080 80d9 80eb
ebebeb ff0000 d98080 515aef 6dd9 b851
ebebeb 0000ff d98080 903522 5bd9 5190
ebebeb 00ff00 d98080 28ef6d b8d9 7728
ebebeb 808080 d98080 7d8080 80d9 807d
ebebeb c86496 d98080 986299 71d9 8d98
ebebeb 101010 d98080 1d8080 80d9 801d
ebebeb ebebeb d98080 d98080 80d9 80d9
ebebeb ff0080 d98080 9235c0 5bd9 a092
ebebeb 0080ff d98080 9d6d19 77d9 4d9d
ebebeb 80ff00 d98080 49dda6 afd9 9349
ff0080 000000 9235c0 108080 5b92 a010
ff0080 ffffff 9235c0 eb8080 5b92 a0eb
ff0080 ff0000 9235c0 515aef 4892 d851
ff0080 0000ff 9235c0 903522 3592 7190
ff0080 00ff00 9235c0 28ef6d 9292 9728
ff0080 808080 9235c0 7d8080 5b92 a07d
ff0080 c86496 9235c0 986299 4c92 ad98
ff0080 101010 9235c0 1d8080 5b92 a01d
ff0080 ebebeb 9235c0 d98080 5b92 a0d9
ff0080 ff0080 9235c0 9235c0 3592 c092
ff0080 0080ff 9235c0 9d6d19 5192 6d9d
ff0080 80ff00 9235c0 49dda6 8992 b349
0080ff 000000 9d6d19 108080 779d 4d10
0080ff ffffff 9d6d19 eb8080 779d 4deb
0080ff ff0000 9d6d19 515aef 649d 8451
0080ff 0000ff 9d6d19 903522 519d 1e90
0080ff 00ff00 9d6d19 28ef6d ae9d 4328
0080ff 808080 9d6d19 7d8080 779d 4d7d
0080ff c86496 9d6d19 986299 689d 5998
0080ff 101010 9d6d19 1d8080 779d 4d1d
0080ff ebebeb 9d6d19 d98080 779d 4dd9
0080ff ff0080 9d6d19 9235c0 519d 6d92
0080ff 0080ff 9d6d19 9d6d19 6d9d 199d
0080ff 80ff00 9d6d19 49dda6 a59d 6049
80ff00 000000 49dda6 108080 af49 9310
80ff00 ffffff 49dda6 eb8080 af49 93eb
80ff00 ff0000 49dda6 515aef 9c49 cb51
80ff00 0000ff 49dda6 903522 8949 6490
80ff00 00ff00 49dda6 28ef6d e649 8a28
80ff00 808080 49dda6 7d8080 af49 937d
80ff00 c86496 49dda6 986299 a049 a098
80ff00 101010 49dda6 1d8080 af49 931d
80ff00 ebebeb 49dda6 d98080 af49 93d9
80ff00 ff0080 49dda6 9235c0 8949 b392
80ff00 0080ff 49dda6 9d6d19 a549 609d
80ff00 80ff00 49dda6 49dda6 dd49 a649
583e08 db9861 308b9f 8886b1 8930 a888
f0d9d0 a8d852 cb7f8d 79ae9c 97cb 9579
de329c b1af3a 9c47a4 6ba1ab 749c a86b
4edb7f 236644 79af63 45936f a179 6945
c0dff4 5f945b d27e6a 64987d 8bd2 7464
0f8423 7466cd 32ad70 9f5f60 8632 689f
35ac8e 022216 769a56 1e8876 9176 661e
36aa7a 6b4334 6c9f5e 4c7e97 8f6c 7b4c
a7863d 3a6a87 6690a9 6d7e60 8766 856d
34ecc9 07e0a5 99a53c 7ab136 ab99 397a
c69cec 52a488 c96274 799466 7bc9 6d79
f238f5 16db62 cf2d8c 5cc056 77cf 715c
d83ceb aa1b7f c33584 7e4d99 41c3 8f7e
4455d3 d57f13 945d4a 5c92cd 7894 8c5c
c0e9c3 92117a ba917b 744e91 70ba 8674
3a247b b5cb7d 606369 919993 7e60 7e91
4ec2c0 f16938 97914d 747acd 8697 8d74
b40fd6 dc74a9 ab2d7f a9619a 47ab 8da9
14a020 7d7722 34b971 4c97a1 a834 894c
37bfc9 b55256 969140 7170a9 8196 7571
f272ac 07c934 b05ca2 3fc861 92b0 823f
432e11 4e9bc5 2e8593 967f4e 822e 7196
04df23 d6e43a 38d765 7ab3b8 c538 8f7a
a33aa2 16ae5b 915287 54ae5b 8091 7154
cf4b59 52e634 7968b4 55c980 9979 9a55
9e7cea d1739b ba5a66 9f669a 60ba 809f
af543f 3a287f 6478af 626467 6e64 8b62
9d34f4 2e36ac b83867 775e51 4bb8 5c77
6d4401 cac5e0 338daa c87778 8233 91c8
4ff0a1 404220 8cae56 378a8b 9c8c 7137
f3f919 a4d522 73c2cf 60bbac bf73 be60
