// mode = 3 (709F)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
000000 000000 008080 008080 8000 8000
000000 ffffff 008080 ff7f80 8000 80ff
000000 ff0000 008080 3662ff 7100 c036
000000 0000ff 008080 b61d0c 4f00 46b6
000000 00ff00 008080 12ff74 c000 7a12
000000 808080 008080 807f80 8000 8080
000000 c86496 008080 9d619b 7100 8e9d
000000 101010 008080 107f80 8000 8010
000000 ebebeb 008080 eb7f80 8000 80eb
000000 ff0080 008080 9131c5 5900 a391
000000 0080ff 008080 bf5d06 6f00 43bf
000000 80ff00 008080 2df0b4 b800 9a2d
ffffff 000000 ff7f80 008080 80ff 8000
ffffff ffffff ff7f80 ff7f80 7fff 80ff
ffffff ff0000 ff7f80 3662ff 71ff c036
ffffff 0000ff ff7f80 b61d0c 4eff 46b6
ffffff 00ff00 ff7f80 12ff74 bfff 7a12
ffffff 808080 ff7f80 807f80 7fff 8080
ffffff c86496 ff7f80 9d619b 70ff 8e9d
ffffff 101010 ff7f80 107f80 7fff 8010
ffffff ebebeb ff7f80 eb7f80 7fff 80eb
ffffff ff0080 ff7f80 9131c5 58ff a391
ffffff 0080ff ff7f80 bf5d06 6eff 43bf
ffffff 80ff00 ff7f80 2df0b4 b8ff 9a2d
ff0000 000000 3662ff 008080 7136 c000
ff0000 ffffff 3662ff ff7f80 7136 c0ff
ff0000 ff0000 3662ff 3662ff 6236 ff36
ff0000 0000ff 3662ff b61d0c 4036 86b6
ff0000 00ff00 3662ff 12ff74 b136 ba12
ff0000 808080 3662ff 807f80 7136 c080
ff0000 c86496 3662ff 9d619b 6236 cd9d
ff0000 101010 3662ff 107f80 7136 c010
ff0000 ebebeb 3662ff eb7f80 7136 c0eb
ff0000 ff0080 3662ff 9131c5 4a36 e291
ff0000 0080ff 3662ff bf5d06 6036 83bf
ff0000 80ff00 3662ff 2df0b4 a936 da2d
0000ff 000000 b61d0c 008080 4fb6 4600
0000ff ffffff b61d0c ff7f80 4eb6 46ff
0000ff ff0000 b61d0c 3662ff 40b6 8636
0000ff 0000ff b61d0c b61d0c 1db6 0cb6
0000ff 00ff00 b61d0c 12ff74 8eb6 4012
0000ff 808080 b61d0c 807f80 4eb6 4680
0000ff c86496 b61d0c 9d619b 3fb6 549d
0000ff 101010 b61d0c 107f80 4eb6 4610
0000ff ebebeb b61d0c eb7f80 4eb6 46eb
0000ff ff0080 b61d0c 9131c5 27b6 6991
0000ff 0080ff b61d0c bf5d06 3db6 09bf
0000ff 80ff00 b61d0c 2df0b4 87b6 602d
00ff00 000000 12ff74 008080 c012 7a00
00ff00 ffffff 12ff74 ff7f80 bf12 7aff
00ff00 ff0000 12ff74 3662ff b112 ba36
00ff00 0000ff 12ff74 b61d0c 8e12 40b6
00ff00 00ff00 12ff74 12ff74 ff12 7412
00ff00 808080 12ff74 807f80 bf12 7a80
00ff00 c86496 12ff74 9d619b b012 889d
